OUTDATED
L,Y,green,blue
F,H,red,blue
I,E,red,blue
W,J,red,blue
T,Y,blue,red
C,Z,blue,green
D,A,red,blue
P,K,green,red
N,Q,red,blue
S,N,blue,blue
M,I,green,green
Y,T,green,blue
H,A,blue,green
M,G,green,green
Z,C,green,red
U,V,green,blue
R,L,blue,green
D,R,green,blue
C,K,red,green
N,A,green,blue
Y,R,red,blue
S,V,green,blue
Y,B,green,blue
S,Y,red,blue
S,X,red,green
M,F,green,blue
S,H,red,red
F,P,red,red
G,X,blue,green
T,H,blue,green
I,A,red,blue
G,O,blue,green
T,E,red,blue
T,S,blue,red
Z,B,blue,green
G,U,green,red
T,V,red,green
X,B,blue,blue
P,I,blue,blue
Z,X,green,red
G,P,blue,green
W,N,green,blue
Q,Z,green,red
I,P,red,red
Z,F,red,red
U,Q,blue,blue
R,H,blue,blue
V,I,blue,red
U,K,red,blue
Y,U,blue,green
I,C,green,green
Z,F,green,green
K,S,red,blue
T,I,blue,red
V,E,green,blue
G,X,blue,blue
D,F,blue,blue
G,I,blue,blue
M,W,red,red
P,B,red,green
N,D,blue,green
N,O,red,red
J,R,blue,red
U,S,green,green
N,Z,blue,blue
I,C,green,red
V,U,red,red
F,B,blue,blue
W,A,green,blue
C,U,blue,red
P,H,red,red
P,R,blue,red
D,B,green,green
Z,A,green,green
T,C,green,green
F,A,blue,green
J,A,green,blue
S,K,blue,green
B,J,green,green
I,D,green,blue
F,P,green,green
A,X,red,red
G,U,blue,blue
O,W,green,blue
N,K,green,red
P,D,green,blue
B,K,green,red
X,S,blue,blue
G,Z,green,blue
S,K,blue,green
H,E,red,green
M,R,green,blue
M,Q,red,blue
B,Q,red,green
C,S,green,blue
P,L,blue,red
D,R,blue,red
G,S,red,blue
U,B,blue,green
S,R,blue,green
Z,H,green,red
H,M,green,red
I,H,green,green
G,M,green,red
N,A,red,green
R,D,red,blue
I,S,green,green
W,M,green,green
E,X,red,red
B,W,green,red
Q,O,blue,red
V,X,green,green
M,Z,green,green
I,T,blue,green
S,W,green,green
S,K,red,red
U,M,blue,red
P,Z,red,green
J,X,green,blue
Q,O,blue,green
I,F,red,green
I,W,red,red
F,Z,green,green
K,T,red,green
D,W,red,blue
W,E,green,red
H,Y,blue,red
N,G,green,blue
X,C,blue,red
H,R,red,blue
V,N,red,red
P,Z,red,red
R,J,red,red
V,L,green,green
B,R,red,blue
G,A,red,red
P,R,red,blue
D,Z,green,blue
W,L,red,green
R,E,green,blue
B,D,green,red
I,J,red,red
M,I,green,green
Z,B,green,blue
V,H,blue,red
I,N,blue,red
M,Y,green,green
U,B,blue,red
R,C,red,blue
U,N,blue,green
W,D,red,red
Z,S,green,green
F,H,red,blue
I,X,blue,red
I,C,red,blue
Z,J,blue,blue
W,C,blue,red
G,M,blue,red
Q,G,red,green
I,T,blue,green
T,J,blue,blue
U,G,green,red
O,W,red,blue
E,L,blue,red
T,P,green,blue
Q,W,red,red
W,B,green,blue
I,S,blue,red
D,N,red,red
H,J,green,green
P,X,red,red
D,N,blue,red
E,C,green,blue
S,M,red,red
L,Z,red,blue
B,Q,green,blue
O,B,green,green
Y,P,blue,blue
L,W,green,green
U,Q,blue,green
M,Y,red,red
N,R,green,green
J,U,green,green
M,E,blue,red
Q,T,red,blue
U,J,blue,green
M,Q,green,blue
Q,H,green,red
I,A,green,blue
E,T,green,green
W,Q,green,red
W,X,blue,red
W,Z,red,blue
X,J,green,red
L,E,blue,red
Z,X,blue,green
S,T,blue,red
O,X,blue,red
V,Z,green,green
Z,W,red,green
Z,T,blue,blue
T,Z,green,green
Y,U,green,blue
K,J,green,green
Q,Y,red,red
I,Y,blue,green
N,H,blue,red
B,F,green,green
X,Q,blue,green
H,P,green,green
S,U,red,red
U,R,blue,green
Y,T,red,green
C,D,red,green
B,X,blue,red
N,W,blue,red
M,L,green,green
I,R,blue,blue
Q,Z,red,green
P,H,blue,red
M,P,green,blue
Z,N,blue,red
I,C,red,blue
G,J,green,blue
I,H,green,red
H,M,red,blue
U,A,red,blue
N,C,red,red
V,G,blue,green
V,P,green,green
E,F,green,blue
U,R,blue,green
O,K,red,green
L,E,blue,red
L,A,blue,red
I,H,green,green
O,D,green,red
L,E,red,red
D,M,green,red
K,W,green,red
U,X,red,red
H,B,red,red
C,R,red,red
M,I,red,green
H,P,red,blue
S,T,green,red
W,V,green,blue
N,A,red,blue
K,E,green,red
P,X,red,blue
Q,V,green,green
G,Q,green,blue
X,A,green,red
S,Q,blue,blue
L,F,red,green
