Vertex1,Vertex2,Color1,Color2
5316T,8TWXR,blue,red
04Z09,G44JF,red,blue
XAOUW,QIOXN,red,green
421TT,NLUIU,blue,green
EKI8S,B45P3,green,green
8R4HC,ILLL9,red,green
053M8,23NKK,red,red
M8F0T,0BE3Q,red,red
BUHTO,QQB30,blue,red
G44JF,OXZY3,blue,blue
SJU70,RVF8H,blue,blue
0H2EG,1X23I,red,blue
MF28A,FF32X,blue,green
DJ47M,6XE5S,green,blue
6M0W3,A713J,green,red
H6XY1,IOSYM,green,green
5JMHH,IWP8R,red,blue
IL210,PG32T,red,red
MPJC9,FJIZE,red,blue
SGORL,PYI28,blue,red
LRYSC,JOBTU,blue,green
4UQ24,B1Q6K,blue,green
XJ8GV,1J9YF,red,green
1ZK9D,M5D88,red,green
24WWE,RZGG2,blue,red
D50EY,IHLE7,blue,green
UXOQ4,YJNQ7,red,red
WLWN0,GV88P,blue,green
YKSKE,4UQ24,red,red
4SO3V,KYYP4,blue,green
H35NM,JLLBD,blue,red
AU606,DOE2U,red,red
SWPCP,GW76F,blue,red
C1NHB,20GPH,green,red
R1JH5,U8MTM,blue,red
17GPA,7KPBM,red,green
6ALQ8,UK769,green,green
2GND7,P5MKY,green,red
7KMQ7,P5H9O,red,blue
PRVWI,58LAT,blue,blue
B6HM5,RTH2Y,red,blue
58MXZ,7GMMP,blue,red
WL8G1,51549,red,green
9Q3VQ,T0TS3,green,red
DJ47M,B3SXM,blue,blue
AVYMA,F0G9L,green,green
J8K06,DOVTG,blue,blue
KYYP4,0ZU6L,blue,blue
HR6IT,KUVKE,blue,red
D4VGA,SCPD1,green,green
NYM29,2GND7,green,blue
WJ6CR,HLS1N,red,green
TSWLN,WD7E6,blue,red
4ZE4T,EBJPP,green,red
8IC4M,N7XBN,red,red
ZTSQY,X43SQ,blue,green
TXXHK,1JFAT,red,red
9WBUE,X43SQ,red,green
47328,EA5EV,red,blue
5JMHH,2UGYZ,red,green
TVQOC,LQXMH,green,red
5BG87,XHQ7J,red,red
TNWAH,WUGEM,red,red
DOE2U,E6RRQ,green,blue
ZK44L,J9RMG,green,red
WMQ5G,J2LJA,red,green
9Z1RL,GUFW9,blue,red
J9RMG,OZUXL,blue,blue
5KRDT,5OFQ8,red,red
SWTMO,JZ8U0,red,blue
ZK44L,3RJ6U,red,blue
G44JF,TKJUR,red,red
K4E7D,9UYBE,red,green
CS5BZ,4VKA8,green,green
N22A0,SAZIF,green,red
5JMHH,JOBTU,green,blue
JZF3M,0NGPG,blue,blue
J9DCM,7ARL1,green,blue
1KVGA,NW9MK,red,green
68KDQ,FFML4,blue,blue
1NOUK,Q46S2,green,blue
DANSD,9GX2B,green,red
EMQYG,GHLUB,red,red
KMTBL,HQ764,green,red
HI6UQ,ZFF48,green,blue
J2LJA,2594I,green,red
LW081,0NGPG,blue,blue
Q50LR,GC5Y2,blue,blue
TK9MZ,59R0M,red,blue
XIX95,UD93F,blue,red
7R1BZ,1I6FP,red,green
MPJC9,PYHV8,red,green
VIMY8,R7M6P,red,green
SBAA4,W4MRN,blue,red
BX7HE,BNT5L,green,red
IP13G,95DY7,green,red
E3VR0,40LDN,green,green
E6RRQ,K7XEQ,red,red
